,root,graph_order,graph_size,unique_edges,avg_degree,strongly_connected,weakly_connected,radius,diameter,center,density,root_degree,root_in_degree,root_out_degree,max_cooccurrence,root_freq
53,,140,197,173,1.4071428571428573,120,4,,,,0.01012332990750257,,,,6,
54,,102,178,110,1.7450980392156863,91,5,,,,0.017278198408076102,,,,31,
55,,139,159,144,1.143884892086331,128,23,,,,0.008289020957147326,,,,7,
56,اله,175,361,326,2.0628571428571427,29,1,5,9,"['ﻪﻟﺍ', 'ﻝﺰﻧ', 'ﻦﻣﺍ', 'ﻞﺳﺭ', 'ﻖﻔﻧ', 'ﺮﺟﺍ', 'ﺭﻮﻧ', 'ﻱﺪﻳ', 'ﻝﻮﻗ', 'ﻲﻟﻭ']",0.011855500821018062,64,32,32,6,32
57,اله,143,275,235,1.9230769230769231,30,1,5,10,['ﻪﻟﺍ'],0.013542795232936078,80,40,40,5,40
58,اله,157,262,238,1.6687898089171975,51,1,7,13,"['ﻪﻟﺍ', 'ﺐﺑﺭ', 'ﻞﺜﻣ', 'ﻑﻮﺧ', 'ﻢﻠﻋ', 'ﻲﺸﺧ', 'ﻖﻠﺧ']",0.010697370569982035,59,28,31,5,31
59,اله,107,202,183,1.8878504672897196,17,1,5,9,"['ﻦﻣﺍ', 'ﻲﻟﻭ', 'ﺩﺩﻭ', 'ﺝﺮﺧ', 'ﻪﻟﺍ', 'ﻢﻠﻋ']",0.01780991006877094,42,21,21,2,21
60,اله,81,131,120,1.617283950617284,26,2,,,,0.02021604938271605,33,16,17,4,17
61,اله,76,106,102,1.394736842105263,37,1,6,11,"['ﻪﻟﺍ', 'ﻮﻤﺳ']",0.018596491228070177,24,12,12,2,12
62,اله,73,106,101,1.452054794520548,25,1,5,10,['ﻪﻟﺍ'],0.020167427701674276,28,14,14,4,14
63,اله,96,153,139,1.59375,44,1,7,13,"['ﻖﻠﺧ', 'ﺮﻔﻛ', 'ﻦﻣﺍ', 'ﺎﺒﻧ', 'ﻱﺪﻫ', 'ﻲﻟﻭ', 'ﺢﻠﺻ']",0.016776315789473684,41,20,21,4,21
64,اله,97,190,174,1.958762886597938,12,1,5,9,"['ﻪﻟﺍ', 'ﻢﻠﻇ', 'ﻞﻤﻋ', 'ﻦﺴﺣ']",0.020403780068728523,49,24,25,5,25
65,اله,96,159,150,1.65625,19,1,6,11,"['ﺎﺒﻧ', 'ﺭﻮﻧ', 'ﺍﺮﻣ']",0.017434210526315788,26,13,13,2,13
66,اله,127,178,172,1.4015748031496063,64,1,6,12,['ﺮﻔﻛ'],0.0111236095488064,6,3,3,2,3
67,,120,139,134,1.1583333333333334,109,10,,,,0.00973389355742297,,,,2,
68,اله,113,116,114,1.0265486725663717,93,14,,,,0.009165613147914033,2,1,1,3,1
69,اله,105,99,96,0.9428571428571428,105,15,,,,0.009065934065934067,1,0,1,3,1
70,اله,87,125,120,1.4367816091954022,55,4,,,,0.016706762897620957,14,6,8,3,8
71,اله,100,150,146,1.5,61,1,6,12,"['ﻪﻟﺍ', 'ﻮﻋﺩ']",0.015151515151515152,20,10,10,3,10
72,اله,90,122,120,1.3555555555555556,46,3,,,,0.01523096129837703,16,8,8,2,8
73,اله,102,106,103,1.0392156862745099,78,17,,,,0.0102892642205397,6,3,3,2,3
74,,71,66,63,0.9295774647887324,70,12,,,,0.013279678068410463,,,,2,
75,اله,112,144,142,1.2857142857142858,87,4,,,,0.011583011583011582,10,5,5,2,5
76,,79,65,63,0.8227848101265823,78,22,,,,0.010548523206751054,,,,3,
77,,97,91,91,0.9381443298969072,92,13,,,,0.00977233676975945,,,,1,
78,اله,92,76,75,0.8260869565217391,92,21,,,,0.009077878643096034,2,1,1,2,1
79,,67,46,46,0.6865671641791045,64,24,,,,0.010402532790592492,,,,1,
80,اله,57,37,37,0.6491228070175439,57,21,,,,0.011591478696741854,2,1,1,1,1
81,اله,35,31,28,0.8857142857142857,35,8,,,,0.026050420168067228,1,1,0,3,1
82,,67,65,63,0.9701492537313433,62,10,,,,0.014699231117141566,,,,2,
83,اله,52,44,40,0.8461538461538461,51,16,,,,0.016591251885369532,1,0,1,2,1
84,اله,52,45,45,0.8653846153846154,52,11,,,,0.016968325791855202,5,2,3,1,3
85,,32,24,23,0.75,31,11,,,,0.024193548387096774,,,,2,
86,اله,41,30,29,0.7317073170731707,40,14,,,,0.018292682926829267,2,1,1,2,1
87,اله,46,34,34,0.7391304347826086,45,14,,,,0.01642512077294686,2,1,1,1,1
88,,61,62,60,1.0163934426229508,53,13,,,,0.016939890710382512,,,,2,
89,,45,32,32,0.7111111111111111,44,16,,,,0.01616161616161616,,,,1,
90,اله,36,24,24,0.6666666666666666,35,13,,,,0.01904761904761905,4,2,2,1,2
91,,39,27,27,0.6923076923076923,39,13,,,,0.018218623481781375,,,,1,
92,,22,17,17,0.7727272727272727,22,5,,,,0.0367965367965368,,,,1,
93,,14,8,7,0.5714285714285714,14,7,,,,0.04395604395604396,,,,2,
94,اله,21,17,17,0.8095238095238095,21,6,,,,0.04047619047619048,2,1,1,1,1
95,اله,32,30,30,0.9375,31,5,,,,0.03024193548387097,2,1,1,1,1
96,,16,16,14,1.0,16,2,,,,0.06666666666666667,,,,3,
97,اله,42,52,49,1.2380952380952381,22,1,6,12,['ﺪﻠﺧ'],0.030197444831591175,6,3,3,2,3
98,,18,19,17,1.0555555555555556,12,4,,,,0.06209150326797386,,,,2,
99,,22,13,13,0.5909090909090909,22,9,,,,0.02813852813852814,,,,1,
100,,19,13,13,0.6842105263157895,19,6,,,,0.038011695906432746,,,,1,
101,,11,8,8,0.7272727272727273,11,4,,,,0.07272727272727272,,,,1,
102,,8,7,7,0.875,7,2,,,,0.125,,,,1,
103,اله,18,12,12,0.6666666666666666,18,6,,,,0.0392156862745098,2,1,1,1,1
104,,17,13,13,0.7647058823529411,17,4,,,,0.04779411764705882,,,,1,
105,,11,8,8,0.7272727272727273,11,3,,,,0.07272727272727272,,,,1,
106,,12,7,7,0.5833333333333334,12,5,,,,0.05303030303030303,,,,1,
107,,7,4,4,0.5714285714285714,7,3,,,,0.09523809523809523,,,,1,
108,,4,6,3,1.5,4,3,,,,0.5,,,,4,
109,اله,15,13,13,0.8666666666666667,15,2,,,,0.06190476190476191,4,2,2,1,2
110,,15,12,12,0.8,12,4,,,,0.05714285714285714,,,,1,
111,اله,7,6,6,0.8571428571428571,7,2,,,,0.14285714285714285,3,1,2,1,2
112,,11,10,10,0.9090909090909091,11,2,,,,0.09090909090909091,,,,1,
113,اله,11,10,10,0.9090909090909091,11,1,3,6,['ﺱﻮﻧ'],0.09090909090909091,1,0,1,1,1
