,root,graph_order,graph_size,unique_edges,avg degree,strongly_connected,weakly_connected,radius,diameter,center,density
1116,زول,6,6,6,1.0,6,1,1,2,['زول'],0.2
1117,صفد,2,2,1,1.0,2,1,1,1,"['قرن', 'صفد']",1.0
1118,سربل,5,5,4,1.0,5,1,1,2,['سربل'],0.25
1119,قطر,10,9,9,0.9,10,1,1,2,['قطر'],0.1
1120,امل,4,3,3,0.75,4,1,1,2,['امل'],0.25
1121,سلك,15,17,14,1.1333333333333333,15,1,1,2,['سلك'],0.08095238095238096
1122,عرج,12,15,12,1.25,11,1,1,2,['عرج'],0.11363636363636363
1123,شهب,9,9,8,1.0,9,1,1,2,['شهب'],0.125
1124,لقح,3,2,2,0.6666666666666666,3,1,1,2,['لقح'],0.3333333333333333
1125,صلصل,6,8,5,1.3333333333333333,6,1,1,2,['صلصل'],0.26666666666666666
1126,حما,5,8,4,1.6,5,1,1,2,['حما'],0.4
1127,قنط,9,9,8,1.0,9,1,1,2,['قنط'],0.125
1128,فضح,2,1,1,0.5,2,1,1,1,"['ضيف', 'فضح']",0.5
1129,وسم,3,2,2,0.6666666666666666,3,1,1,2,['وسم'],0.3333333333333333
1130,خفض,4,5,3,1.25,4,1,1,2,['خفض'],0.4166666666666667
1131,عضو,2,1,1,0.5,2,1,1,1,"['قرا', 'عضو']",0.5
1132,صدع,7,6,6,0.8571428571428571,7,1,1,2,['صدع'],0.14285714285714285
1133,نطف,12,22,13,1.8333333333333333,10,1,1,2,['نطف'],0.16666666666666666
1134,دفا,3,2,2,0.6666666666666666,3,1,1,2,['دفا'],0.3333333333333333
1135,بغل,3,2,2,0.6666666666666666,3,1,1,2,['بغل'],0.3333333333333333
1136,طرو,3,4,2,1.3333333333333333,3,1,1,2,['طرو'],0.6666666666666666
1137,مخر,3,4,2,1.3333333333333333,3,1,1,2,['مخر'],0.6666666666666666
1138,سقف,8,7,7,0.875,8,1,1,2,['سقف'],0.125
1139,خسف,12,14,12,1.1666666666666667,11,1,1,2,['خسف'],0.10606060606060606
1140,دخر,5,4,4,0.8,5,1,1,2,['دخر'],0.2
1141,وصب,4,3,3,0.75,4,1,1,2,['وصب'],0.25
1142,جار,4,3,3,0.75,4,1,1,2,['جار'],0.25
1143,دسس,3,2,2,0.6666666666666666,3,1,1,2,['دسس'],0.3333333333333333
1144,فرث,3,2,2,0.6666666666666666,3,1,1,2,['فرث'],0.3333333333333333
1145,لبن,5,4,4,0.8,5,1,1,2,['لبن'],0.2
1146,حفد,3,2,2,0.6666666666666666,3,1,1,2,['حفد'],0.3333333333333333
1147,لمح,4,4,3,1.0,4,1,1,2,['لمح'],0.3333333333333333
1148,جوو,3,2,2,0.6666666666666666,3,1,1,2,['جوو'],0.3333333333333333
1149,ظعن,2,2,2,1.0,1,1,1,1,"['يوم', 'ظعن']",1.0
1150,صوف,3,2,2,0.6666666666666666,3,1,1,2,['صوف'],0.3333333333333333
1151,وبر,3,2,2,0.6666666666666666,3,1,1,2,['وبر'],0.3333333333333333
1152,اثث,5,4,4,0.8,5,1,1,2,['اثث'],0.2
1153,عتب,5,5,5,1.0,5,1,1,2,['عتب'],0.25
1154,وكد,3,2,2,0.6666666666666666,3,1,1,2,['وكد'],0.3333333333333333
1155,غزل,3,2,2,0.6666666666666666,3,1,1,2,['غزل'],0.3333333333333333
1156,نفد,7,9,8,1.2857142857142858,5,1,1,2,['نفد'],0.21428571428571427
1157,عجم,8,7,7,0.875,8,1,1,2,['عجم'],0.125
1158,جوس,3,2,2,0.6666666666666666,3,1,1,2,['جوس'],0.3333333333333333
1159,نشر,23,25,24,1.0869565217391304,22,1,1,2,['نشر'],0.04940711462450593
